2023-08-18|14:30:15|Fall Semester Tuition Payment|University Accounts|-7500.00
2023-08-18|14:35:00|Campus Meal Plan Purchase|Dining Services|-2000.00
2023-08-20|09:00:00|Used Textbooks - Calculus & Physics|Campus Bookstore|-210.50
2023-08-20|16:45:30|Move-in Day Pizza & Soda|Domino's|-35.99
2023-08-22|11:00:00|Laptop Charger Replacement|Best Buy|-45.99
2023-08-25|18:00:00|First Paycheck - Library Job|University Library|350.75
2023-09-01|12:00:00|Rent - September|Apartment Management|-800.00
2023-09-03|15:15:20|Bus Pass - Monthly|City Transit|-75.00
2023-09-08|19:30:00|Movie Tickets with Friends|Local Cinema|-30.00
2023-09-15|10:00:00|Deposit from Parent|Transfer|500.00
2023-09-22|17:45:10|Groceries - Ramen & Coffee|Trader Joe's|-62.80
2023-09-29|18:00:00|Paycheck - Library Job|University Library|388.50
2023-10-01|12:00:00|Rent - October|Apartment Management|-800.00
2023-10-05|13:00:00|Subscription - Research Software|JSTOR|-19.99
2023-10-14|15:30:00|Laundry Detergent & Quarters|CVS|-25.50
2023-10-27|18:00:00|Paycheck - Library Job|University Library|412.25
2023-11-01|12:00:00|Rent - November|Apartment Management|-800.00
2023-11-10|21:00:00|Late-Night Study Snacks|7-Eleven|-15.75
2023-11-18|16:00:00|Gas for Trip Home for Thanksgiving|Shell|-40.00
2023-11-24|18:00:00|Paycheck - Library Job|University Library|355.00
2023-12-01|12:00:00|Rent - December|Apartment Management|-800.00
2023-12-05|11:30:00|Selling Old Textbooks|Textbook Buyback|150.00
2023-12-15|15:00:00|Winter Break Coffee Budget|Starbucks|-55.00
2024-01-05|14:00:00|Spring Semester Tuition Payment|University Accounts|-7500.00
2024-01-05|14:05:00|Spring Semester Meal Plan|Dining Services|-1800.00
2024-01-10|10:30:00|New Printer Ink & Paper|Office Depot|-58.99
2024-01-15|12:00:00|Rent - January|Apartment Management|-800.00
2024-01-26|18:00:00|Paycheck - Library Job|University Library|450.50
2024-02-01|12:00:00|Rent - February|Apartment Management|-800.00
2024-02-14|19:00:00|Valentine's Day Dinner|Local Thai Place|-65.00
2024-02-23|18:00:00|Paycheck - Library Job|University Library|420.75
2024-03-01|12:00:00|Rent - March|Apartment Management|-800.00
2024-03-08|16:30:00|Spring Break Road Trip Gas|Exxon|-85.50
2024-03-16|10:00:00|Financial Aid Refund Deposit|University Financial Aid|1200.00
2024-03-29|18:00:00|Paycheck - Library Job|University Library|390.25
2024-04-01|12:00:00|Rent - April|Apartment Management|-800.00
2024-04-18|15:00:00|New Glasses/Eye Exam|Vision Center|-150.00
2024-04-26|18:00:00|Final Paycheck before Summer|University Library|300.00
2024-05-15|10:00:00|Summer Internship Stipend (First Half)|Tech Company|1500.00
2024-06-01|12:00:00|Rent - June (Subletting room)|Subletter Income|400.00
2024-06-05|17:00:00|Concert Ticket|Ticketmaster|-75.00
2024-07-15|10:00:00|Summer Internship Stipend (Second Half)|Tech Company|1500.00
2024-08-20|14:30:00|Fall Semester Tuition Payment (Junior Year)|University Accounts|-8000.00
2024-08-25|10:00:00|Digital Textbooks Subscription|Cengage|-180.00
2024-09-01|12:00:00|Rent - September|Apartment Management|-800.00
2024-10-05|19:00:00|New Backpack|The North Face|-99.00
2024-11-15|11:00:00|Grad School Application Fees|Online Portal|-250.00
2024-12-10|16:00:00|Deposit from Grandparent - Holiday Gift|Transfer|300.00
2025-01-05|14:30:00|Spring Semester Tuition Payment (Last Semester!)|University Accounts|-8000.00
2025-02-01|12:00:00|Rent - February|Apartment Management|-800.00
2025-03-20|17:00:00|Professional Attire for Interviews|Macy's|-120.50
